Work Order ID,Description,Status,Work Group,Program,Report Date,Service Address,Completion Date,Duration (hours),Failure Class,Problem,Service Request ID,Work Order Priority,Council District,Fiscal Year,Valid Duration,Meets Standard
19-403656,Debris in Street---MATTRESS---1500 W SLAUGHTER LN,Closed,SBO District South,District Maintenance,11/04/2019 02:04:50 PM,1512 1/2 W SLAUGHTER LN,11/05/2019 07:15:00 AM,17.169,Street Surface Assets,Debris in Street,CSR19-00424068,2,5,FY2020,1,1
19-403659,"Tree Issue ROW/low limbs/ 2201 HOPI TRL,",Closed,SBO Trees,Forestry,11/04/2019 02:40:54 PM,2201 HOPI TRL,11/05/2019 06:00:00 AM,15.318,ROW Trees,Investigate Work Request,CSR19-00424144,2,10,FY2020,1,1
19-403665,"Obstruction in ROW/furniture/ 11929 BITTERN HOLW,",Closed,SBO After Hours,District Maintenance,11/04/2019 03:19:46 PM,11929 BITTERN HOLW,11/04/2019 06:15:00 PM,2.921,Street Surface Assets,Debris in Street,CSR19-00424205,2,7,FY2020,1,1
19-403672,Obstruction in ROW / 601 W. 37th St.,Closed,SBO After Hours,District Maintenance,11/04/2019 04:40:56 PM,601 1/2 W 37TH ST,11/04/2019 06:15:00 PM,1.568,Street Surface Assets,Obstruction,CSR19-00424381,2,9,FY2020,1,1
19-403678,Tree Issue ROW/dead tree/DAVIS LN & ZEKE BND,Closed,SBO Trees,Forestry,11/04/2019 04:55:54 PM,3009 1/2 DAVIS LN,12/13/2019 12:00:00 PM,931.068,ROW Trees,Investigate Work Request,CSR19-00424412,2,5,FY2020,1,0
19-403674,Debris in Street / Cameron Rd. at Ferguson Ln.,Closed,SBO After Hours,District Maintenance,11/04/2019 06:55:51 PM,8900 CAMERON RD,11/04/2019 08:00:00 PM,1.069,Street Surface Assets,Debris in Street,CSR19-00424591,2,4,FY2020,1,1
19-403676,Tree Issue ROW/low limbs/7701 SAN FELIPE BLVD,Closed,SBO Trees,Forestry,11/04/2019 10:13:51 PM,7701 SAN FELIPE BLVD,11/05/2019 08:30:00 AM,10.269,ROW Trees,Investigate Work Request,CSR19-00424709,5,6,FY2020,1,1
19-403677,Obstruction in ROW/cactus plants/8205 BELCLAIRE LN,Closed,SBO Vegetation Management,Forestry,11/05/2019 07:22:48 AM,8205 BELCLAIRE LN,01/11/2020 10:45:00 AM,1611.37,ROW Vegetation,Investigate Work Request,CSR19-00424838,2,2,FY2020,1,0
19-403681,Debris in Street/trash/S 1ST ST & ELDERBERRY DR,Closed,SBO District South,District Maintenance,11/05/2019 07:49:57 AM,7200 S 1ST ST,11/05/2019 09:15:00 AM,1.418,Street Surface Assets,Debris in Street,CSR19-00424884,2,2,FY2020,1,1
19-403684,duplicated wo SPICEWOOD SPRINGS RD & ADIRONDACK TRL,Closed,SBO District North,District Maintenance,11/05/2019 08:25:59 AM,8500 ADIRONDACK CV,11/18/2019 01:52:05 PM,317.435,Street Surface Assets,Debris in Street,CSR19-00424965,4,10,FY2020,1,0
19-403694,Tree Issue ROW/low limbs/6637 DOGWOOD CREEK DR,Closed,SBO Trees,Forestry,11/05/2019 09:22:56 AM,6637 DOGWOOD CREEK DR,11/06/2019 05:00:00 AM,19.618,ROW Trees,Investigate Work Request,CSR19-00425092,2,10,FY2020,1,1
19-403693,Tree Issue ROW/low limbs/6625 DOGWOOD CREEK DR,Closed,SBO Trees,Forestry,11/05/2019 09:25:50 AM,6625 DOGWOOD CREEK DR,11/06/2019 05:15:00 AM,19.819,ROW Trees,Investigate Work Request,CSR19-00425097,2,10,FY2020,1,1
19-403700,Tree Issue ROW/low limbs/1701 APRICOT GLEN DR,Closed,SBO Trees,Forestry,11/05/2019 09:28:51 AM,1701 APRICOT GLEN DR,12/10/2019 10:00:00 AM,840.519,ROW Trees,Investigate Work Request,CSR19-00425113,2,8,FY2020,1,0
19-403696,"Tree Issue ROW/low limbs/1801 HOLLY HILL DR,",Closed,SBO Trees,Forestry,11/05/2019 09:28:51 AM,1801 HOLLY HILL DR,11/09/2019 10:00:00 AM,96.519,ROW Trees,Investigate Work Request,CSR19-00425117,2,8,FY2020,1,0
19-403698,Tree Issue ROW/low limbs/3510 NATIVE DANCER CV,Closed,SBO Trees,Forestry,11/05/2019 09:28:51 AM,3510 NATIVE DANCER CV,01/15/2020 08:45:00 AM,1703.269,ROW Trees,Investigate Work Request,CSR19-00425109,2,10,FY2020,1,0
19-403688,Tree Issue ROW/low limbs/WALSH TARLTON LN & STONERIDGE RD,Closed,SBO Trees,Forestry,11/05/2019 09:31:48 AM,1915 WALSH TARLTON LN,01/17/2020 11:30:00 AM,1753.97,ROW Trees,Investigate Work Request,CSR19-00425120,2,8,FY2020,1,0
19-403692,Tree Issue ROW/brush/ 4419 SHOAL CREEK BLVD,Closed,SBO Trees,Forestry,11/05/2019 09:37:47 AM,4419 SHOAL CREEK BLVD,12/10/2019 06:30:00 AM,836.87,ROW Trees,Investigate Work Request,CSR19-00425132,2,10,FY2020,1,0
19-403697,"Tree Issue ROW/low limbs/BURRELL DR & BECKETT ST,",Closed,SBO Trees,Forestry,11/05/2019 10:07:51 AM,8208 BURRELL DR,12/09/2019 08:30:00 AM,814.369,ROW Trees,Investigate Work Request,CSR19-00425196,2,7,FY2020,1,0
19-403699,"debris in street R.O.W. /stroller/5216 TAHOE TRL,",Closed,SBO District South,District Maintenance,11/05/2019 10:19:49 AM,5216 TAHOE TRL,11/05/2019 12:45:00 PM,2.42,Street Surface Assets,Debris in Street,CSR19-00425236,2,5,FY2020,1,1
